Company Name,Order No,Credit No,Reason
Improvata Pty Ltd,DTS-12968,CN-12970,CHANGED PRINTER
FIG TREE MOTEL,DTS-15008,CN-19125,FAULTY - DAMAGED
TERRALINKS GROUP PTY LTD,DTS-18810,CN-19070,WRONG GOODS - DELTONE FAULT
HOME TIMBER AND HARDWARE (WEST WYALONG),DTS-17483,CN-19045,FAULTY - PRINT QUALITY
KYABRAM STEEL,DTS-17916,CN-19036,FAULTY - DAMAGED
COMPLETE LEATHER CARE,DTS-18116,CN-19027,FAULTY - NOT REG
TRAVEL MANAGERS (SANDY BAY),DTS-17356,CN-19007,FAULTY - PRINT QUALITY
TRAVEL MANAGERS (MONTROSE),DTS-16619,CN-18942,FAULTY - NOT REG
DRUMMOND GOLF (TRARALGON),DTS-18605,CN-18921,FAULTY - NOT REG
HOTEL CORONATION,DTS-17982,CN-18904,FAULTY - PRINT QUALITY
TIGERS LEAGUES CLUB,DTS-16918,CN-18888,FAULTY - NOT REG
SCENIC LODGE THOROUGHBRED STUD,DTS-17313,CN-18845,FAULTY - DAMAGED
BODYTEK FITNESS CO.,DTS-16353,CN-18803,FAULTY - PRINT QUALITY
JW & BA PAUL BUILDERS,DTS-18358,CN-18798,WRONG GOODS - DELTONE FAULT
XTREME MARINE,DTS-15311,CN-18785,FAULTY - PRINT QUALITY
JUMP! SWIM SCHOOLS (GEELONG WEST),DTS-18104,CN-18773,FAULTY - PRINT QUALITY
PARTY2DI4,DTS-16640,CN-18714,FAULTY - PRINT QUALITY
AUTO TOP TRADE (NORTH BATEMANS BAY) ,DTS-17676,CN-18703,WRONG GOODS - DELTONE FAULT
SPORTS POWER (STAWELL),DTS-12399,CN-18680,FAULTY - PRINT QUALITY
STRATH SEWING AND QUILTING,DTS-17495,CN-18593,FAULTY - PRINT QUALITY
JALLARAH HOMES,DTS-17468,CN-18551,WRONG GOODS - DELTONE FAULT
CLARENCE HOTEL ,DTS-17997,CN-18531,WRONG GOODS - DELTONE FAULT
KINGSTON-ON-MURRAY CARAVAN PARK,DTS-17917,CN-18482,FAULTY - PRINT QUALITY
WELLPETS KALLANGUR,DTS-17420,CN-18437,WRONG GOODS - DELTONE FAULT
BODYTEK FITNESS CO.,DTS-16353,CN-18369,FAULTY - PRINT QUALITY
NINGALOO WHALESHARKS,DTS-16508,CN-18342,FAULTY - PRINT QUALITY
