Company Name,Order No,Credit No,Reason
PACK & SEND (MELBOURNE),DTS-17522,CN-18898,FAULTY - NOT REG
PORT MACQUARIE DAY SPA,DTS-18422,CN-18737,FAULTY - NOT REG
JUNE TURNER DESIGNS & LIFESTYLES,DTS-13935,CN-18170,FAULTY - NOT REG
SANDEK BOARDING KENNELS & CATTERY,DTS-14811,CN-18119,FAULTY - NOT REG
LAWSON PARK HOTEL,DTS-17343,CN-17511,FAULTY - DAMAGED
NATIONWIDE BODY CORPORATE,DTS-17030,CN-17041,FAULTY - NOT REG
D & A MECHANICAL SERVICES,DTS-15407,CN-16596,FAULTY - NOT REG
COLLIE MEDICAL GROUP,DTS-14498,CN-16044,FAULTY - NOT REG
SEAFOOD ON MALVERN,DTS-15226,CN-15715,FAULTY - NOT REG
BEDS R US (MOE) FURNITURE WORLD ,DTS-14762,CN-15602,FAULTY - NOT REG
LES ROWE & ASSOCIATES,DTS-14725,CN-15382,FAULTY - PRINT QUALITY
HASTINGS FUNERALS,DTS-14564,CN-15207,FAULTY - NOT REG
TABLELAND VETERINARY SERVICE,DTS-14154,CN-14816,FAULTY GOODS
DEFTEROS LAWYERS,DTS-9634,CN-14712,FAULTY GOODS
WONGAN HILLS BETTA HOME LIVING,DTS-12272,CN-13298,FAULTY GOODS
BP SERVICE STATION (BACCHUS MARSH),DTS-9452,CN-13070,FAULTY GOODS
