Company Name,Order No,Credit No,Reason
TRULINE AUSTRALIA PTY LTD,DTS-17087,CN-18770,FAULTY - PRINT QUALITY
STAR BRIGHT EARLY LEARNING CENTRE,DTS-10011,CN-18311,FAULTY - PRINT QUALITY
BATHURST NEIGHBOURHOOD CENTRE  ,DTS-18256,CN-18310,FAULTY - NOT REG
MCINTOSH & SON (MOORA),DTS-16320,CN-18060,FAULTY - PRINT QUALITY
GATEWAY LIFESTYLE (BENALLA),DTS-17308,CN-18017,FAULTY - PRINT QUALITY
STRATH SEWING AND QUILTING,DTS-10754,CN-17494,FAULTY - DAMAGED
W A BOS SEMI TRAILER EQUIPMENT PTY LTD,DTS-15932,CN-17328,FAULTY - DAMAGED
REGENCY FOODS,DTS-16166,CN-17166,FAULTY - PRINT QUALITY
REGENCY FOODS,DTS-14049,CN-17165,FAULTY - PRINT QUALITY
CONDOS HORSE TRANSPORT,DTS-16698,CN-17156,FAULTY - NOT REG
HARP LEGAL,DTS-14253,CN-17083,FAULTY - NOT REG
DANIELS CHIROPRACTIC,DTS-13917,CN-16805,FAULTY - DAMAGED
HARP LEGAL,DTS-14253,CN-16447,FAULTY - NOT REG
FARM WORLD NT (KIOTI DEALER),DTS-12011,CN-16256,FAULTY - PRINT QUALITY
HIGHWAY SERVICES,DTS-10982,CN-16176,FAULTY - NOT REG
AFFINITY LENDING,DTS-14035,CN-15940,FAULTY - DAMAGED
STEVEN HALL,DTS-10459,CN-15649,FAULTY - PRINT QUALITY
KORUMBURRA TOURIST PARK,DTS-11207,CN-14769,FAULTY GOODS
SECURA LIFESTYLE (BALLINA),DTS-13888,CN-14602,FAULTY GOODS
KORUMBURRA TOURIST PARK,DTS-11207,CN-13089,FAULTY GOODS
BARCALDINE LEADING APPLIANCES,DTS-10453,CN-13080,FAULTY GOODS
